duration,,,,,
4883,chromium,4890.35,,total,5007.5375
4885,,,,per number,834.589583333333
4886,,,,,
4884,,,,,
4884,,,,,
4883,,,,,
4882,,,,,
4887,,,,,
4885,,,,,
4884,,,,,
4886,,,,,
4885,,,,,
4903,,,,,
4886,,,,,
4883,,,,,
4985,,,,,
4883,,,,,
4886,,,,,
4883,,,,,
4884,,,,,
5147,firefox,5168.4,,,
5174,,,,,
5280,,,,,
5198,,,,,
5239,,,,,
5215,,,,,
5241,,,,,
5022,,,,,
5198,,,,,
5115,,,,,
5107,,,,,
5105,,,,,
5189,,,,,
5047,,,,,
5190,,,,,
5114,,,,,
5256,,,,,
5238,,,,,
5140,,,,,
5153,,,,,
4887,webkit,4984.3,,,
4886,,,,,
4884,,,,,
4885,,,,,
4886,,,,,
5877,,,,,
4885,,,,,
4884,,,,,
4886,,,,,
4881,,,,,
4885,,,,,
4886,,,,,
5877,,,,,
4885,,,,,
4885,,,,,
4886,,,,,
4886,,,,,
4885,,,,,
4886,,,,,
4884,,,,,
4888,mobile safari,4987.1,,,
4886,,,,,
4884,,,,,
4886,,,,,
4900,,,,,
4882,,,,,
4886,,,,,
4886,,,,,
4886,,,,,
4886,,,,,
5873,,,,,
4886,,,,,
4887,,,,,
4887,,,,,
4886,,,,,
4886,,,,,
4885,,,,,
4887,,,,,
5894,,,,,
4901,,,,,
