name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,serverTiming,unloadEventStart,unloadEventEnd,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd,type,redirectCount
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1300.89999999851,navigation,http/1.1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1.39999999850988,491.5,499,16798,16498,91560,,501.89999999851,550.5,551.39999999851,675.79999999702,1300.79999999702,1300.79999999702,1300.89999999851,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1213.30000000447,navigation,http/1.1,0,0,0,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,1.10000000149012,238.10000000149,243.70000000298,17017,16717,91823,,248.40000000596,319.30000000447,326.30000000447,456.70000000298,1213.20000000298,1213.20000000298,1213.30000000447,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1087.60000000149,navigation,http/1.1,0,0,0,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,1.30000000447035,219.40000000596,221.80000000447,17031,16731,91849,,228.10000000149,293.20000000298,302,425.10000000149,1087.40000000596,1087.5,1087.60000000149,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,773.10000000149,navigation,http/1.1,0,0,0,0.399999998509884,0.399999998509884,0.399999998509884,0.399999998509884,0.399999998509884,0.399999998509884,0.899999998509884,212.10000000149,214.70000000298,16811,16511,91580,,222.20000000298,275.39999999851,276.60000000149,409.39999999851,773,773.10000000149,773.10000000149,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1306.89999999851,navigation,http/1.1,0,0,0,0.399999998509884,0.399999998509884,0.399999998509884,0.399999998509884,0.399999998509884,0.399999998509884,1,214.70000000298,216.20000000298,16839,16539,91615,,217,248.39999999851,273.60000000149,403.39999999851,1306.70000000298,1306.79999999702,1306.89999999851,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1301.10000000149,navigation,http/1.1,0,0,0,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.899999998509884,276.29999999702,279.89999999851,17062,16762,91880,,285,353.70000000298,362.29999999702,491.20000000298,1301,1301,1301.10000000149,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1587.30000000447,navigation,http/1.1,0,0,0,0.800000004470348,0.800000004470348,0.800000004470348,0.800000004470348,0.800000004470348,0.800000004470348,1.40000000596046,562.10000000149,564.400000005961,16800,16500,91572,,572.70000000298,641.20000000298,649.5,770.60000000149,1587.20000000298,1587.20000000298,1587.30000000447,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1138.19999999553,navigation,http/1.1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1.09999999403954,216.79999999702,218.19999999553,16786,16486,91557,,222.59999999404,291.09999999404,299.39999999851,427.89999999851,1138,1138,1138.19999999553,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1164.5,navigation,http/1.1,0,0,0,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.899999998509884,246.69999999553,247.69999999553,16801,16501,91573,,250.60000000149,294.79999999702,295.69999999553,421.29999999702,1164.29999999702,1164.29999999702,1164.5,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1061.69999999553,navigation,http/1.1,0,0,0,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,0.600000001490116,1.10000000149012,234.39999999851,240.5,17039,16739,91856,,246.39999999851,299.60000000149,300.89999999851,438.5,1061.69999999553,1061.69999999553,1061.69999999553,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1085.60000000149,navigation,http/1.1,0,0,0,0.700000002980232,0.700000002980232,0.700000002980232,0.700000002980232,0.700000002980232,0.700000002980232,1.29999999701977,223.60000000149,235.10000000149,17024,16724,91834,,234.79999999702,281.39999999851,282.60000000149,420.39999999851,1085.5,1085.5,1085.60000000149,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,1084,navigation,http/1.1,0,0,0,0.300000004470348,0.300000004470348,0.300000004470348,0.300000004470348,0.300000004470348,0.300000004470348,0.899999998509884,211.5,217.20000000298,17048,16748,91868,,219.30000000447,289.5,297.80000000447,424.5,1083.89999999851,1083.89999999851,1084,navigate,0
https://www.qa02.illinois.camelot.global/account/profile/games/dbg-participation-history/details/55974,navigation,0,965.69999999553,navigation,http/1.1,0,0,0,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.299999997019768,0.799999997019768,415.39999999851,416.39999999851,16819,16519,91589,,422.79999999702,487.39999999851,498.89999999851,627.29999999702,965.5,965.5,965.69999999553,navigate,0
